interval,time,set,stroke,kg
103,202910,1,0,0
103,203014,1,0,0
103,203117,1,0,0
103,203220,1,0,0
103,203324,1,0,0
103,203427,1,0,0
103,203531,1,0,-0.01
103,203634,1,0,-0.02
103,203738,1,0,-0.02
102,203841,1,0,-0.02
103,203943,1,0,-0.01
103,204047,1,0,-0.01
103,204150,1,0,0
103,204254,1,0,0
103,204357,1,0,0
103,204461,1,0,0
103,204564,1,0,0
103,204667,1,0,0
103,204771,1,0,0
103,204874,1,0,-0.01
103,204978,1,0,-0.01
123,205081,1,0,-0.01
103,288644,1,0,-0.02
103,288747,1,0,-0.02
103,288851,1,0,-0.02
103,288954,1,0,-0.02
103,289058,1,0,-0.02
103,289161,1,0,-0.02
103,289264,1,0,-0.02
103,289368,1,0,-0.02
103,289471,1,0,-0.02
103,289575,1,0,-0.02
103,289678,1,0,-0.02
103,289782,1,0,-0.02
103,289885,1,0,-0.01
103,289988,1,0,-0.01
103,290092,1,0,-0.01
103,290195,1,0,-0.01
103,290299,1,0,-0.01
103,290402,1,0,-0.01
103,290506,1,0,-0.01
103,290609,1,0,-0.01
103,290712,1,0,-0.01
103,290816,1,0,-0.01
103,291019,1,1,-0.01
103,291123,1,1,-0.01
103,291226,1,1,-0.01
103,291330,1,1,-0.01
103,291433,1,1,-0.01
103,291537,1,1,-0.01
103,291640,1,1,-0.01
104,291743,1,1,-0.01
103,291848,1,1,-0.01
103,291951,1,1,-0.01
103,292055,1,1,-0.01
103,292158,1,1,-0.01
103,292262,1,1,-0.01
103,292365,1,1,-0.01
103,292468,1,1,-0.01
103,292572,1,1,-0.01
103,292675,1,1,-0.01
103,292779,1,1,-0.01
103,292882,1,1,-0.01
103,292986,1,1,-0.01
103,293089,1,1,-0.01
104,293192,1,1,-0.01
103,293297,1,1,-0.01
103,293400,1,1,-0.01
103,293504,1,1,-0.01
103,293607,1,1,-0.01
103,293711,1,1,-0.01
103,293814,1,1,-0.01
103,293917,1,1,-0.01
103,294021,1,1,-0.01
103,294124,1,1,-0.01
103,294228,1,1,-0.01
103,294331,1,1,-0.01
103,294435,1,1,-0.01
103,294538,1,1,-0.01
103,294641,1,1,-0.01
103,294745,1,1,-0.01
103,294848,1,1,-0.01
103,294952,1,1,-0.01
103,295055,1,1,-0.01
103,295159,1,1,-0.01
103,295262,1,1,-0.01
103,295365,1,1,-0.01
103,295469,1,1,-0.01
103,295572,1,1,-0.01
103,295676,1,1,-0.01
103,295779,1,1,-0.01
